,Depth,Depth_pred,XRF/Hardness Sample #,XRF/Hardness Sample #_pred,HLD,HLD_pred,Na,Na_pred,Mg,Mg_pred,Al,Al_pred,Si,Si_pred,P,P_pred,S,S_pred,Cl,Cl_pred,K,K_pred,Ca,Ca_pred,Ti,Ti_pred,V,V_pred,Cr,Cr_pred,Mn,Mn_pred,Fe,Fe_pred,Co,Co_pred,Ni,Ni_pred,Cu,Cu_pred,Zn,Zn_pred,Ga,Ga_pred,As,As_pred,Se,Se_pred,Rb,Rb_pred,Sr,Sr_pred,Y,Y_pred,Zr,Zr_pred,Nb,Nb_pred,Mo,Mo_pred,Ba,Ba_pred,Pb,Pb_pred,Th,Th_pred,U,U_pred
67,15.516123,17.856632232666016,133,156.68875122070312,574,786.1947784423828,1.7553,0.12700176239013672,1.6266,2.420478582382202,1.0562,3.144902229309082,14.9603,28.852684020996094,0.0248,0.06227448582649231,0.2878,0.4870893079787493,0.0,0.00904018897563219,1.2034,2.3718254566192627,4.478,6.0566487312316895,0.121,0.21952970698475838,0.0041,0.004123026505112648,0.0,0.0014184131287038326,0.2989,0.4808887243270874,1.0395,1.4383185803890228,0.0,0.0005223927146289498,0.0015,0.0012301719398237765,0.0016,0.0006230463040992618,0.0036,0.004744690144434571,0.0006,0.000799894354713615,0.0004,0.0003643110394477844,0.0,1.217870885739103e-05,0.0059,0.006201126845553517,0.0049,0.006105676060542464,0.0018,0.0022060556220822036,0.0272,0.027265606448054314,0.0004,0.0007232188945636153,0.0013,0.0013977084308862686,0.023,0.028364188969135284,0.0,0.000804536510258913,0.0,0.00032491947058588266,0.0006,0.0003802759456448257
68,15.620921,15.749496459960938,134,135.60128784179688,745,800.3284759521484,0.0,0.15178829431533813,3.0328,2.7278387546539307,3.6469,3.2393475770950317,31.3118,29.29185390472412,0.0967,0.07314106822013855,0.4962,0.4951179903000593,0.0,0.01174839399755001,2.5338,2.384912371635437,6.8473,6.517181873321533,0.2323,0.2290329746901989,0.0022,0.003783474676311016,0.0018,0.0018656139727681875,0.4754,0.57377690076828,1.611,1.5513022989034653,0.0007,0.0005567077751038596,0.0011,0.0014971345663070679,0.0004,0.0008798529743216932,0.0028,0.005045829573646188,0.0009,0.0008451043831882998,0.0003,0.00036747916601598263,0.0,2.5786452169995755e-05,0.0063,0.006306827301159501,0.0065,0.0060739642940461636,0.0022,0.002287150011397898,0.0266,0.024596236646175385,0.0007,0.0007316311239264905,0.0012,0.0012689733412116766,0.0336,0.02047017216682434,0.0,0.0006599766202270985,0.0006,0.00047148228622972965,0.0,0.0005014931666664779
69,15.72572,11.535614013671875,135,93.38394165039062,795,798.4005126953125,0.0,0.12278062105178833,2.591,2.7980289459228516,2.9401,2.897326111793518,28.7067,28.354979515075684,0.0757,0.0692128837108612,0.4733,0.4246883075684309,0.0,0.006131681613624096,2.1786,2.132551908493042,6.1702,6.864274501800537,0.2078,0.20970730856060982,0.0032,0.0035902895033359528,0.0,0.0013269875198602676,0.4092,0.5344831943511963,1.4238,1.4738092124462128,0.0004,0.0005056604713900015,0.0015,0.001356409804429859,0.0009,0.0006223098607733846,0.0027,0.004391324007883668,0.0008,0.0007511804651585408,0.0004,0.0003119116881862283,0.0,-6.513873813673854e-07,0.0057,0.005661125527694821,0.0054,0.0057780565693974495,0.0023,0.0021403967402875423,0.0273,0.025903671979904175,0.0008,0.000686965009663254,0.0015,0.0013651177287101746,0.0161,0.021231181919574738,0.0006,0.0007156927604228258,0.0007,0.00041561946272850037,0.0005,0.0003434562240727246
70,15.800576,17.514678955078125,136,153.34259033203125,809,787.9663391113281,0.0,0.06599381566047668,2.9706,2.3106136322021484,3.8631,3.6611346006393433,28.6122,31.45535659790039,0.1013,0.0970209538936615,0.5844,0.5457455795258284,0.0,0.004286399111151695,2.8052,2.7127416133880615,6.0646,5.426077842712402,0.2646,0.24667755514383316,0.0031,0.004083814099431038,0.0024,0.00208134762942791,0.4149,0.39314645528793335,1.7425,1.4663882106542587,0.0007,0.0006243173411348835,0.0013,0.0010850353282876313,0.0006,0.0006569032266270369,0.0038,0.0029890250880271196,0.0009,0.0009643593803048134,0.0003,0.0003622290096245706,0.0,2.3259468434844166e-05,0.0075,0.006953854812309146,0.0058,0.006394964409992099,0.0024,0.0023960020625963807,0.0278,0.03028482012450695,0.0007,0.0008632873650640249,0.0019,0.0017127285245805979,0.0248,0.022008121013641357,0.0,0.000660402700304985,0.0004,0.00040651659946888685,0.0007,0.00044228072511032224
71,15.906526,19.40874481201172,137,172.27276611328125,844,798.7741394042969,0.0,0.11765435338020325,3.0742,2.5837831497192383,3.3735,2.9691747426986694,29.153,29.797553062438965,0.0915,0.08022096753120422,0.5439,0.4886883646249771,0.0,0.002730468288064003,2.4748,2.2632715702056885,7.0505,6.45125150680542,0.2464,0.2174234688282013,0.0019,0.003663911484181881,0.0032,0.0018235142342746258,0.4866,0.5145314335823059,1.6942,1.4125369638204575,0.0007,0.0005264670326141641,0.0011,0.001146688184235245,0.0006,0.000500016612932086,0.0031,0.005409822566434741,0.0007,0.0007368058140855283,0.0006,0.00033605482894927263,0.0,3.4294142096769065e-05,0.0063,0.005812348565086722,0.0056,0.006045860471203923,0.0023,0.0022231853217817843,0.0266,0.029193609952926636,0.0009,0.0007739851134829223,0.0012,0.001546026673167944,0.0241,0.02403765171766281,0.0,0.0006754484493285418,0.0,0.0004161975812166929,0.0005,0.0004223249270580709
72,16.005566,16.43222427368164,138,142.43975830078125,806,811.8260345458984,0.0515,0.20212623476982117,3.542,2.860649824142456,3.2658,2.832776665687561,27.5976,28.65899085998535,0.0788,0.08857569098472595,0.5012,0.46447976119816303,0.0,0.0012252144515514374,2.3888,2.1132627725601196,7.8347,6.885092735290527,0.2228,0.21489477530121803,0.0035,0.0037717176601290703,0.0,0.002037751255556941,0.5573,0.5430715084075928,1.6941,1.4724989384412766,0.0006,0.0005079974216641858,0.0016,0.0012442537117749453,0.0006,0.0006079151935409755,0.0029,0.0033964712638407946,0.001,0.0007806512876413763,0.0004,0.00035284593468531966,0.0,5.1803603128064424e-05,0.006,0.0057064013089984655,0.0058,0.006047084229066968,0.0023,0.0022320255520753562,0.0247,0.027360644191503525,0.0006,0.0007358905859291553,0.001,0.0013981482479721308,0.015,0.018876880407333374,0.0,0.00037829671055078506,0.0004,0.00034470134414732456,0.0,0.00040886859642341733
73,16.125336,16.12533950805664,139,138.99993896484375,724,724.0,0.6875,0.6875,2.3882,2.3881990909576416,1.6947,1.6946998834609985,23.2736,23.273603439331055,0.0583,0.05830004811286926,0.33,0.3299999926239252,0.0,-1.1175870895385742e-08,1.4424,1.4423997402191162,7.3842,7.384200096130371,0.1546,0.15459999814629555,0.0,-1.862645149230957e-09,0.0,6.984919309616089e-10,0.5159,0.5159001350402832,1.1552,1.1551999747753143,0.0002,0.0001999999803956598,0.0008,0.0007999999797903001,0.0009,0.0008999998099170625,0.0043,0.004300007130950689,0.0004,0.00039999998989515007,0.0,0.0,0.0,-2.1827872842550278e-11,0.0035,0.0034999994095414877,0.0056,0.005600000731647015,0.0019,0.0018999999156221747,0.0291,0.02910000830888748,0.0008,0.000800000037997961,0.0017,0.0016999999061226845,0.0324,0.032399989664554596,0.0012,0.001199999824166298,0.0006,0.0006000004941597581,0.0,1.7462298274040222e-10
74,16.231286,20.821128845214844,140,186.29287719726562,826,788.8057556152344,0.0,0.19516974687576294,2.9025,2.908033847808838,3.3903,3.3234004974365234,28.5996,28.38086223602295,0.0902,0.09091979265213013,0.5436,0.5155493561178446,0.0,0.0008070897310972214,2.5513,2.4342517852783203,6.5432,6.825101852416992,0.2232,0.21945177018642426,0.0045,0.003940456546843052,0.002,0.001559642143547535,0.444,0.6164408922195435,1.6549,1.586369588971138,0.0007,0.0005975910025881603,0.0008,0.0015220445347949862,0.0007,0.0007810904644429684,0.0032,0.005588609026744962,0.0008,0.0008423814870184287,0.0003,0.0004324063193053007,0.0,3.165748785249889e-05,0.0069,0.006430709036067128,0.0054,0.00617760163731873,0.0023,0.0023838580236770213,0.0219,0.02328958362340927,0.0008,0.0006848015473224223,0.0016,0.0012062364257872105,0.0182,0.025422103703022003,0.0,0.0006294751074165106,0.0004,0.0002259514294564724,0.0008,0.00038646161556243896
75,16.337236,9.399578094482422,141,72.03070068359375,785,804.4329833984375,0.8688,0.2867856025695801,2.0751,2.630878210067749,4.0637,3.216161012649536,25.2844,28.993751525878906,0.0983,0.08138000965118408,0.6672,0.4484789799898863,0.0,-0.0030880365520715714,2.96,2.311292052268982,4.0999,6.091636657714844,0.3047,0.22589490190148354,0.0057,0.004281031899154186,0.0056,0.0024681868962943554,0.2651,0.39113742113113403,1.8374,1.510363757610321,0.0005,0.0005477761587826535,0.0016,0.001159350445959717,0.001,0.0005089633632451296,0.005,0.0027213238645344973,0.0013,0.0009274109470425174,0.0004,0.0003861262812279165,0.0,3.0338931537698954e-05,0.0095,0.006444442318752408,0.0055,0.005664246855303645,0.0028,0.002287507348228246,0.0257,0.025075504556298256,0.0008,0.0007600221433676779,0.0013,0.0012618228793144226,0.0234,0.01980174332857132,0.002,0.0003842250443994999,0.0008,0.00037760124541819096,0.0012,0.0004263574373908341
76,16.427063,10.134662628173828,142,79.39913940429688,744,797.6062164306641,0.0094,0.23375704884529114,2.8447,2.609949827194214,3.4043,3.4182136058807373,29.0739,29.344626426696777,0.1054,0.08570811152458191,0.5264,0.47530107013881207,0.0,-0.0016418490558862686,2.5057,2.4463950395584106,6.438,5.971729755401611,0.2197,0.23176561668515205,0.005,0.004295816645026207,0.0025,0.002311572665348649,0.429,0.3804309368133545,1.5703,1.5368983447551727,0.0006,0.0005843990511493757,0.0011,0.0011925704311579466,0.0003,0.0005993032827973366,0.0035,0.003471817122772336,0.0006,0.0009554375283187255,0.0003,0.00039000430842861533,0.0,1.8982602341566235e-05,0.0067,0.006717866286635399,0.0056,0.005708994576707482,0.0022,0.0023243402829393744,0.0302,0.025777293369174004,0.0008,0.0007762606837786734,0.0015,0.0013650471810251474,0.0216,0.020731978118419647,0.001,0.0005068928003311157,0.0,0.00040110573172569275,0.0,0.0004156663198955357
77,16.478887,11.236286163330078,143,90.46426391601562,775,792.3545379638672,0.0,0.25177016854286194,3.4672,2.8946797847747803,3.6266,3.6420172452926636,28.713,28.8479585647583,0.0933,0.09802654385566711,0.5161,0.5307860430330038,0.0,-0.0010182429105043411,2.597,2.55901038646698,7.7063,6.431024551391602,0.2334,0.23527384921908379,0.0018,0.004126265645027161,0.0026,0.0022150296717882156,0.5505,0.44413554668426514,1.7575,1.6611356139183044,0.0007,0.000650546615361236,0.0017,0.0014387211995199323,0.0007,0.0008657163707539439,0.0034,0.006397064076736569,0.001,0.0009651258442318067,0.0004,0.00042791676241904497,0.0,1.9267194147687405e-05,0.0067,0.0070569494273513556,0.0057,0.005455967038869858,0.0023,0.002452176879160106,0.0221,0.025017060339450836,0.0007,0.0007718783454038203,0.0011,0.00139306066557765,0.025,0.023168109357357025,0.0015,0.0007355948910117149,0.0008,0.0004414719296619296,0.0008,0.0004563188413158059
78,16.575624,11.061355590820312,144,88.69412231445312,770,789.7794036865234,0.0,0.1758558452129364,2.9854,2.3596928119659424,2.7598,3.640509247779846,27.1763,30.23074245452881,0.0858,0.08897796273231506,0.4692,0.5017640758305788,0.0,-0.00015631504356861115,2.1594,2.6231155395507812,6.9757,5.396960735321045,0.2,0.24182557314634323,0.0055,0.004477298818528652,0.0017,0.0023168271873146296,0.4712,0.32280969619750977,1.4861,1.5146732032299042,0.0005,0.0006087723158998415,0.0007,0.001091859070584178,0.0006,0.0005831789458170533,0.0031,0.003200973616912961,0.0009,0.0010228881583316252,0.0004,0.00039723014924675226,0.0,1.0291834769304842e-05,0.0055,0.007076697424054146,0.0055,0.00599705777131021,0.0022,0.0023500191746279597,0.0283,0.027491146698594093,0.0009,0.0008244174532592297,0.0016,0.0015168178360909224,0.0117,0.021036066114902496,0.0,0.0004939537029713392,0.0004,0.0004038725746795535,0.0,0.0004068371490575373
79,16.665451,17.83322525024414,145,156.50582885742188,782,812.7035522460938,0.2132,0.20518985390663147,2.5256,2.7606489658355713,2.4744,2.9288378953933716,27.5404,29.90293025970459,0.0983,0.08774611353874207,0.5894,0.4744874108582735,0.0,0.0013772379606962204,1.9347,2.2118635177612305,6.265,6.656318664550781,0.2085,0.22122487053275108,0.0018,0.0035436050966382027,0.0017,0.0022284870501607656,0.4175,0.5478883981704712,1.4242,1.434704229235649,0.0004,0.0005253465642454103,0.0011,0.001199733407702297,0.0004,0.0005638882284983993,0.0031,0.0020436637569218874,0.0005,0.0007680098788114265,0.0005,0.00032529671443626285,0.0,6.482571916421875e-05,0.0049,0.005785987246781588,0.0056,0.006011498859152198,0.0024,0.002309597737621516,0.0353,0.027454279363155365,0.0005,0.0007700304850004613,0.0017,0.0013644429855048656,0.0244,0.02033410221338272,0.0,0.0005516025703400373,0.0006,0.0003618637565523386,0.0,0.0004941629595123231
80,16.825528,12.310226440429688,146,101.206298828125,816,788.7638702392578,0.349,0.2863103449344635,2.2984,2.5504472255706787,2.647,3.5372360944747925,25.826,28.770277976989746,0.0817,0.08225390315055847,0.4745,0.49917509220540524,0.0,-0.0021280422806739807,2.1537,2.548040986061096,5.4108,5.905097007751465,0.2075,0.232794389128685,0.0041,0.004239780828356743,0.0016,0.002494579879567027,0.3556,0.3804311156272888,1.4252,1.560925155878067,0.0004,0.0005898776726098731,0.001,0.0012031632359139621,0.0008,0.0006599192274734378,0.003,0.0075286992359906435,0.0009,0.0009631821740185842,0.0005,0.0004256166866980493,0.0,1.897534093586728e-05,0.0062,0.007003543898463249,0.0056,0.005619450239464641,0.0025,0.0023992537171579897,0.0295,0.02589939907193184,0.0006,0.0007942299707792699,0.0014,0.0013703559525310993,0.0245,0.0245412215590477,0.0011,0.0006477050483226776,0.0007,0.00046926329378038645,0.0006,0.00041521189268678427
81,16.921113,14.084938049316406,147,118.96133422851562,815,809.0277404785156,0.1669,0.24145463109016418,2.7679,2.7029731273651123,3.2582,3.0565370321273804,28.7925,29.49885082244873,0.0866,0.08491671085357666,0.482,0.462928107008338,0.0,-0.0006073284894227982,2.4619,2.2560540437698364,6.0575,6.405349254608154,0.2146,0.22330043837428093,0.0037,0.003871350549161434,0.0028,0.002335020573809743,0.3866,0.4782212972640991,1.4909,1.468330666422844,0.0006,0.0005353152664611116,0.001,0.0011817854247055948,0.0009,0.0005394771578721702,0.0032,0.0023448450956493616,0.0009,0.0008388548012590036,0.0004,0.00035233207745477557,0.0,4.949825961375609e-05,0.0069,0.006078633712604642,0.006,0.00585716450586915,0.0024,0.0022997797932475805,0.0235,0.026397045701742172,0.0009,0.0007655823137611151,0.0012,0.0013188340235501528,0.0167,0.02009749412536621,0.0,0.00047721248120069504,0.0006,0.00036885810550302267,0.0009,0.0004640272236429155
82,17.025912,18.110187530517578,148,159.28305053710938,797,810.2612915039062,0.0,0.18670156598091125,2.5373,2.71545147895813,2.5204,2.999562621116638,30.6632,30.109095573425293,0.0786,0.08901241421699524,0.4134,0.4833682607859373,0.0,0.0018658582121133804,2.0497,2.2638341188430786,7.3335,6.540539741516113,0.1842,0.22387998551130295,0.003,0.0035763168707489967,0.0031,0.002203260315582156,0.4617,0.5365003943443298,1.2805,1.4354224652051926,0.0005,0.0005355125904316083,0.0009,0.0011884848936460912,0.0008,0.0005762574728578329,0.0027,0.0021236047614365816,0.0005,0.0007839227473596111,0.0003,0.0003271473105996847,0.0,6.148452666820958e-05,0.0049,0.005891363136470318,0.0058,0.0060669672675430775,0.002,0.0023200163850560784,0.0252,0.027856886386871338,0.0005,0.0007807630463503301,0.0013,0.0014069420285522938,0.015,0.020539820194244385,0.0007,0.0005698907189071178,0.0,0.00036624225322157145,0.0,0.0004909095587208867
83,17.121497,17.83322525024414,149,156.50582885742188,722,812.7035522460938,0.3142,0.20518985390663147,2.4908,2.7606489658355713,3.1491,2.9288378953933716,27.6752,29.90293025970459,0.0778,0.08774611353874207,0.5441,0.4744874108582735,0.0,0.0013772379606962204,2.3883,2.2118635177612305,5.8647,6.656318664550781,0.2507,0.22122487053275108,0.0034,0.0035436050966382027,0.0035,0.0022284870501607656,0.3913,0.5478883981704712,1.6046,1.434704229235649,0.0006,0.0005253465642454103,0.001,0.001199733407702297,0.0012,0.0005638882284983993,0.0036,0.0020436637569218874,0.0011,0.0007680098788114265,0.0006,0.00032529671443626285,0.0003,6.482571916421875e-05,0.0067,0.005785987246781588,0.0056,0.006011498859152198,0.0025,0.002309597737621516,0.0331,0.027454279363155365,0.001,0.0007700304850004613,0.0015,0.0013644429855048656,0.0134,0.02033410221338272,0.0,0.0005516025703400373,0.0,0.0003618637565523386,0.0004,0.0004941629595123231
